conm,gvkey
RED HAT INC,122841
RED LION HOTELS CORP,109079
RED MOUNTAIN RESOURCES INC,187625
RED RIVER BANCSHARES INC,35078
RED ROBIN GOURMET BURGERS,148470
RED ROCK RESORTS INC,26361
RED TRAIL ENERGY LLC,184830
RED VIOLET INC,33233
REDBOX ENTERTAINMENT INC,39954
REDFIN CORP,32102
REDHAWK HOLDINGS CORP,175472
REDWIRE CORP,39578
REEDS INC,176378
REFLECT SCIENTIFIC INC,143788
REGAL ENTERTAINMENT GROUP,147638
REGAL REXNORD CORPORATION,9016
REGENCY CENTERS CORP,29099
REGENCY ENERGY PARTNERS LP,165699
REGENERON PHARMACEUTICALS,23812
REGENERX BIOPHARMACEUTICALS,12942
REGENXBIO INC,26146
REGI U S INC,31154
REGIONAL BRANDS INC,25969
REGIONAL HEALTH PROPERTS INC,166485
REGIONAL MANAGEMENT CORP,187253
REGIONS FINANCIAL CORP,4674
REGIS CORP/MN,9023
REGO PAYMENT ARCHITECTES INC,181309
REGULUS THERAPEUTICS INC,13835
REINSURANCE GROUP AMER INC,28216
REIS INC,64850
REJUVEL BIO-SCIENCES INC,19821
REKOR SYSTEMS INC,30280
RELAY THERAPEUTICS INC,36677
RELIABRAND INC,178859
RELIANCE STEEL & ALUMINUM CO,30671
RELIANT BANCORP INC,17594
RELIV INTERNATIONAL INC,27906
RELYPSA INC,18976
REMARK HOLDINGS INC,178494
REMEDENT INC,60915
REMITLY GLOBAL INC,39547
REMORA ROYALTIES INC -REDH,33823
REMY INTERNATIONAL INC,65697
RENASANT CORP,25173
RENEWABLE ENERGY GROUP INC,187692
RENNOVA HEALTH INC,187677
RENOVARE ENVIRONMENTAL INC,25740
RENT THE RUNWAY INC,39819
RENT-A-CENTER INC,31460
RENTECH INC,23898
RENTRAK CORP,12815
REPLIGEN CORP,12181
REPUBLIC AIRWAYS HLDGS INC,147639
REPUBLIC BANCORP INC/KY,112721
REPUBLIC FIRST BANCORP INC,18040
REPUBLIC SERVICES INC,112168
RESEARCH FRONTIERS INC,12377
RESEARCH SOLUTIONS INC,180345
RESERVE PETROLEUM CO,22962
RESERVOIR MEDIA INC,39363
RESHAPE LIFESCIENCES INC,178847
RESIDEO TECHNOLOGIES,34053
RESMED INC,31887
RESOLUTE ENERGY CORP,179782
RESOLUTE FOREST PRODUCTS INC,2337
RESONANT INC,19719
RESONATE BLENDS INC,19272
RESOURCE AMERICA INC,9083
RESOURCES CONNECTION INC,141359
RESPIRERX PHARMACEUTICALS,16480
RESPONSE GENETICS INC,176963
RESTORATION ROBOTIC INC,32380
RETAIL OPPORTUNITY INVTS CP,178539
RETAIL PPTYS OF AMERICA INC,164132
RETAIL VALUE INC,33708
RETAILMENOT INC,18177
RETRACTABLE TECHNOLOGIES INC,143526
REV GROUP INC,185952
REVANCE THERAPEUTICS INC,19471
REVEN HOUSING REIT INC,186078
REVLON CONSUMER PRODUCTS CP,28004
REVLON INC  -CL A,62290
REVOLUTION LIGHTING TECHNLGS,29921
REVOLUTION MEDICINES INC,36083
REVOLVE GROUP INC,34467
REX AMERICAN RESOURCES CORP,1864
REX ENERGY CORP,177896
REXFORD INDUS REALTY,18071
REYNOLDS AMERICAN INC,120877
REYNOLDS CONSUMER PRODUCTS,35874
RGC RESOURCES INC,9171
RH,111873
RHINEBECK BANCORP INC,34338
RHINO RESOURCE PARTNERS LP,174312
RHYTHM PHARMACEUTICLS,21601
RIBBON COMMUNICATIONS INC,135965
RICE ENERGY INC,19377
RICE MIDSTREAM PARTNERS LP,22159
RICEBRAN TECHNOLOGIES,114415
RICH PHARMACEUTICALS INC,13106
RICHARDSON ELECTRONICS LTD,9125
RICHMOND MUTUAL BANCO INC,34938
RIGEL PHARMACEUTICALS INC,133468
RIGHTSCORP INC,18367
RIGHTSIDE GROUP LTD,21138
RIGNET INC,185921
RILEY EXPL PERMIAN INC,34183
RIMINI STREET INC,19802
RING ENERGY INC,176840
RINGCENTRAL INC,18630
RIOT PLATFORMS INC,148170
RISK(GEORGE) INDUSTRIES INC,9154
RITE AID CORP,9155
RIVER CITY BANK/CA,21752
RIVER VALLEY BANCORP,64199
RIVERBANC MULTIFAMILY -REDH,25454
RIVERBED TECHNOLOGY INC,174317
RIVERBEND INDUSTRIES,3465
RIVERVIEW BANCORP INC,29061
RIVERVIEW FINANCIAL CORP,182599
RIVIAN AUTOMOTIVE INC,39811
RIVIERA RESOURCES INC,33979
RLI CORP,13342
RLJ ENTERTAINMENT INC,186675
RLJ LODGING TRUST,186363
RMG NETWORKS HOLDING CORP,187375
RMR GROUP INC,26545
ROADRUNNER TRANS SYSTEMS INC,180562
ROAN RESOURCES INC,34296
ROBERT HALF INTL INC,2312
ROBINHOOD MARKETS INC,39293
ROBLOX CORP,37453
ROCHESTER GAS & ELECTRC CORP,146774
ROCKET COS INC,36722
ROCKET FUEL INC,18584
ROCKET LAB USA INC,39503
ROCKETFUEL BLOCKCHAIN INC,34215
ROCKWELL AUTOMATION,9203
ROCKWELL COLLINS,144066
ROCKWELL MEDICAL INC,66366
ROCKY BRANDS INC,27776
ROCKY MOUNTAIN CHOC FACT INC,11976
ROFIN SINAR TECHNOLOGIES INC,63651
ROGERS CORP,9216
ROI LAND INVESTMENTS LTD,187496
ROKU INC,32382
ROLLINS INC,9225
ROMEO POWER INC,37617
ROOT INC,37150
ROOT9B TECHNOLOGIES INC,166756
ROPER TECHNOLOGIES INC,24925
ROSE ROCK MIDSTREAM LP,187814
ROSEHILL RESOURCES INC,31156
ROSETTA RESOURCES INC,166061
ROSETTA STONE INC,180905
ROSS STORES INC,9248
ROUNDY'S INC,199456
ROUSE PROPERTIES INC,9256
ROVER GROUP INC,39377
ROYAL BANCSHARES/PA  -CL A,17168
ROYAL ENERGY RESOURCES INC,176733
ROYAL GOLD INC,9273
ROYAL RESOURCES PRTNRS-REDH,24439
ROYALE ENERGY INC,28791
RPC INC,8901
RPM INTERNATIONAL INC,8902
RPT REALTY,15111
RPX CORP,186308
RSP PERMIAN INC,19171
RTI INTL METALS INC,16650
RTW RETAILWINDS INC,160571
RUBICON TECHNOLOGY INC,178865
RUBY TUESDAY INC,7566
RUCKUS WIRELESS INC,16416
RUMBLEON INC,21035
RUNWAY GROWTH FINANCE CORP,40353
RUSH ENTERPRISES INC,63000
RUSH STREET INTERACTIVE INC,37623
RUTHS HOSPITALITY GROUP INC,163891
RXO INC,41716
RXSIGHT INC,39184
RYAN SPECIALTY HOLDINGS INC,39067
RYDER SYSTEM INC,9299
RYERSON HOLDING CORP,5968
RYLAND GROUP INC,9302
RYMAN HOSPITALITY PPTYS INC,24620
RYVYL INC,37212
S & T BANCORP INC,19570
S&P GLOBAL INC,7163
S&W SEED CO,184259
SAB BIOTHERAPEUTICS INC,39951
SABINE OIL & GAS CORP,184262
SABINE ROYALTY TRUST,9346
SABRA HEALTH CARE REIT INC,185618
SABRE CORP,19649
SAEXPLORATION HOLDINGS INC,18235
SAFE & GREEN HOLDINGS CORP,194655
SAFEHOLD INC,31958
SAFETY INSURANCE GROUP INC,148469
SAGA COMMUNICATIONS INC,27790
SAGE THERAPEUTICS INC,20943
SAIA INC,150481
SAILPOINT TECHNO HLDG,32641
SAJAN INC,184592
SAKER AVIATION SERVICES INC,111535
SALARIUS PHARMACEUTICALS INC,35477
SALEEN AUTOMOTIVE INC,18233
SALEM MEDIA GROUP INC,121817
SALESFORCE INC,157855
SALISBURY BANCORP INC,113093
SALIX PHARMACEUTICALS LTD,62977
SALLY BEAUTY HOLDINGS INC,175900
SALON MEDIA GROUP INC,121478
SAMSARA INC,40292
SAMSON RESOURCES CORP,170620
SAN DIEGO GAS & ELECTRIC CO,65090
SAN JUAN BASIN ROYALTY TR,9393
SAN LOTUS HOLDING INC,17029
SANARA MEDTECH INC,23623
SANCHEZ ENERGY CORP,188663
SANCILIO PHARMACEUTICLS-REDH,26130
SANDERSON FARMS INC,13323
SANDISK CORP,61513
SANDRIDGE ENERGY INC,176899
SANDY SPRING BANCORP INC,62654
SANFILIPPO JOHN B&SON,24755
SANGAMO THERAPEUTICS INC,133871
SANMINA CORP,28139
SANOMEDICS INC,150249
SANTA CRUZ COUNTY BANK,264628
SANTA FE FINANCIAL CORP,28836
SANTA FE GOLD CORP,25776
SANTANDER CONSUMER USA HLDGS,18306
SANTANDER HOLDINGS USA INC,17130
SANUWAVE HEALTH INC,181070
SARATOGA INVESTMENT CORP,176999
SARATOGA RESOURCES INC,160214
SARCOS TECHN & ROBOTICS CORP,39738
SAREPTA THERAPEUTICS INC,64857
SAUL CENTERS INC,28769
SAVARA INC,31177
SAVE FOODS INC,183968
SAVE-A-LOT INC -SPN,26799
SB FINANCIAL GROUP INC,63058
SB ONE BANCORP,65884
SBA COMMUNICATIONS CORP,121382
SCANA CORP,9445
SCANSOURCE INC,29910
SCHMITT INDUSTRIES INC/OR,26520
SCHNEIDER NATIONAL INC,264193
SCHNITZER STEEL INDS  -CL A,29217
SCHOLAR ROCK HOLDNG CRP,33445
SCHOLASTIC CORP,9466
SCHOOL SPECIALTY INC,111491
SCHRODINGER INC,36051
SCHULMAN (A.) INC,9472
SCHWAB (CHARLES) CORP,13988
SCICLONE PHARMACEUTICALS LLC,25047
SCIENCE 37 HOLDINGS INC,39850
SCIENCE APPLICATIONS INTL CP,18683
SCIENTIFIC ENERGY INC,164538
SCIENTIFIC INDUSTRIES INC,9490
SCIENTIFIC LEARNING CORP,113371
SCIO DIAMOND TECHNOLOGY CORP,186096
SCIPLAY CORP,35055
SCIQUEST INC,126600
SCORES HOLDING CO INC,107692
SCOTT'S LIQUID GOLD,9521
SCOTTS MIRACLE-GRO CO,20185
SCRIPPS NETWORKS INTERACTIVE,180167
SCULPTOR CAPITAL MANAGEMENT,178814
SCWORX CORP,34766
SCYNEXIS INC,20040
SEABOARD CORP,9538
SEACHANGE INTERNATIONAL INC,63938
SEACOAST BANKING CORP/FL,17184
SEACOAST COMMERCE BANC HLDG,156016
SEACOR HOLDINGS INC,26021
SEACOR MARINE HLDGS INC,31384
SEAFARER EXPLORATION CORP,141006
SEAGEN INC,141460
SEALED AIR CORP,9555
SEARS HOLDINGS CORP,6307
SEARS HOMETOWN & OUTLET STR,12976
SEASPINE HOLDINGS CORP,24458
SEAWORLD ENTERTAINMENT INC,186392
SEBRING SOFTWARE INC,186030
SECTOR 5 INC,17284
SECUREWORKS CORP,26677
SECURITY CALIFORNIA BANCORP,164320
SECURITY FEDERAL CORP,109981
SECURITY NATL FINL CP  -CL A,17180
SED INTERNATIONAL HLDGS INC,12658
SEELOS THERAPEUTICS INC,34709
SEER INC,37425
SEI INVESTMENTS CO,9317
SELECT BANCORP INC,140565
SELECT ENERGY SERVICES INC,29680
SELECT INCOME REIT,170375
SELECT INTERIOR CONCEPTS INC,32804
SELECT MEDICAL HOLDINGS CORP,174236
SELECTA BIOSCIENCES INC,27354
SELECTIS HEALTH INC,13913
SELECTIVE INS GROUP INC,17115
SELECTQUOTE INC,36234
SELLAS LIFE SCIENCES GROUP I,32901
SEMGROUP CORP,184035
SEMILEDS CORP,185380
SEMLER SCIENTIFIC INC,19189
SEMPRA ENERGY,8272
SEMRUSH HOLD INC,38403
SEMTECH CORP,9599
SENDGRID INC,32675
SENECA BIOPHARMA INC,176229
SENECA FOODS CORP,8582
SENESTECH INC,28365
SENMIAO TECHNOLOGY LTD,32647
SENOMYX INC,142812
SENSEONICS HLDGS INC,26636
SENSIENT TECHNOLOGIES CORP,11012
SENSUS HEALTHCARE INC,26908
SENTINELONE INC,37596
SEQLL INC,35121
SEQUENOM INC,128663
SEQUENTIAL BRANDS GROUP INC,166711
SERA PROGNOSTICS INC,39170
SERES THERAPEUTICS INC,24177
SERITAGE GROWTH PROPERTIES,24330
SERVICE CORP INTERNATIONAL,9611
SERVICE PROPERTIES TRUST,61188
SERVICEMASTER CO,9613
SERVICENOW INC,171007
SERVICESOURCE INTL INC,186129
SERVISFIRST BANCSHARES INC,16549
SERVOTRONICS INC,9619
SESEN BIO INC,19458
SEVCON INC,14170
SEVENTY SEVEN ENERGY INC,190957
SEVERN BANCORP INC,147792
SEVION THERAPEUTICS INC,65838
SFX ENTERTAINMENT INC,18438
SHAKE SHACK INC,22672
SHAPEWAYS HOLDINGS INC,39785
SHARECARE INC,39158
SHARING ECONMY INTL INC -OLD,18844
SHARPS COMPLIANCE CORP,112819
SHARPSPRING INC,186903
SHATTUCK LABS INC,37110
SHE BEVERAGE CO INC -REDH,36090
SHELL MIDSTREAM PARTNERS LP,20944
SHENANDOAH TELECOMMUN CO,9664
SHERWIN-WILLIAMS CO,9667
SHIFT TECHNOLOGIES INC,37213
SHIFT4 PAYMENTS INC,36494
SHIFTPIXY INC,29558
SHILOH INDUSTRIES INC,28518
SHIMMICK CONSTRUCTION -REDH,26488
SHINECO INC,23370
SHINER INTERNATIONAL INC,176726
SHOALS TECHNOLOGIES GRP INC,37646
SHOCKWAVE MEDICAL INC,34854
SHOE CARNIVAL INC,27938
SHORE BANCSHARES INC,143153
SHORETEL INC,177127
SHOTSPOTTER INC,31457
SHUTTERFLY INC,175376
SHUTTERSTOCK INC,3382
SI FINANCIAL GROUP INC,160667
SI-BONE INC,34193
SIDECHANNEL INC,64077
SIDOTI & COMPANY INC -REDH,25220
SIDUS SPACE INC,40305
SIEBERT FINANCIAL CORP,7315
SIENTRA INC,22037
SIERRA BANCORP/CA,105538
SIERRA MONITOR CORP,21792
SIERRA ONCOLOGY,25129
SIERRA PACIFIC POWER CO,9691
SIFCO INDUSTRIES,9698
SIGA TECHNOLOGIES INC,65376
SIGHT SCIENCES INC,39171
SIGILON THERAPTICS INC,37488
SIGMA ADDITIVE SOLUTIONS INC,185587
SIGMA DESIGNS INC,12234
SIGMA-ALDRICH CORP,9699
SIGMATRON INTERNATIONAL INC,29698
SIGNAL GENETICS INC,20037
SIGNATURE BANK/NY,160776
SIGNATURE OFFICE REIT INC,171137
SIGNIFY HEALTH INC,37811
SILGAN HOLDINGS INC,64389
SILICON GRAPHICS INTL CORP,162907
SILICON IMAGE INC,124599
SILICON LABORATORIES INC,133288
SILK ROAD MEDICAL INC,34882
SILO PHARMA INC,170430
SILVER BAY REALTY TRUST CORP,14402
SILVER SPIKE INVESTMENT CORP,39332
SILVER SPRING NETWORKS INC,187607
SILVERBOW RESOURCES INC,10221
SILVERCREST ASSET MGT,14551
SILVERGATE CAPITAL CORP,34446
SILVERSUN TECHNOLOGIES INC,170655
SIMMONS FIRST NATL CP  -CL A,19355
SIMON PROPERTY GROUP INC,29389
SIMPLICITY BANCORP INC,158414
SIMPLICITY ESPRTS AND GAM,32218
SIMPLY GOOD FOODS COMPANY,27576
SIMPSON MANUFACTURING INC,30260
SIMULATIONS PLUS INC,64929
SINCERITY APP MTRL HLDG -OLD,19460
SINCLAIR BROADCAST GP  -CL A,60800
SINGING MACHINE CO INC,30964
SINGULARITY FUTURE TECH LTD,180118
SINTX TECHNOLOGIES INC,177981
SIRIUS XM HOLDINGS INC,30662
SIRONA DENTAL SYSTEMS INC,174876
SISECAM RESOURCES LP,18321
SITE CENTERS CORP,27780
SITEONE LANDSCAPE SUPPLY INC,25893
SITIME CORP,35794
SITIO ROYALTIES CORP,34034
SITO MOBILE LTD,149360
SIX FLAGS ENTERTAINMENT CORP,10567
SIXTH STREET SPECIALTY LENDI,19974
SIZMEK INC,62016
SJW GROUP,9324
SKECHERS U S A INC,121142
SKILLED HEALTHCARE GROUP INC,176291
SKILLSOFT CORP,35327
SKILLZ INC,37562
SKINVISIBLE INC,117114
SKKYNET CLOUD SYSTEMS INC,17349
SKULLCANDY INC,186345
SKYLINE CHAMPION CORP,33652
SKYLINE CORP,9761
SKYWARD SPECIALTY INS GP INC,41782
SKYWATER TECH INC,38465
SKYWEST INC,12392
SKYWORKS SOLUTIONS INC,1327
SKYX PLATFORMS CORP,25447
SL GREEN REALTY CORP,65290
SL INDUSTRIES INC,9325
SLACK TECHNOLOGIES INC,35133
SLEEP NUMBER CORP,116504
SLM CORP,20430
SLR INVESTMENT CORP,184287
SLR SENIOR INVESTMENT CORP,186591
SM ENERGY CO,26013
SMACK SPORTSWEAR -OLD,179594
SMART & FINAL STORES INC,19843
SMART FOR LIFE INC,40492
SMART POWERR CORP,145407
SMART SAND INC,22284
SMARTFINANCIAL INC,26179
SMARTHEAT INC,177031
SMARTPROS LTD,160448
SMARTRENT INC,39505
SMARTSHEET INC,33275
SMG INDIUM RESRCES LTD- OLD,184659
SMILEDIRECTCLUB INC,35602
SMITH & WESSON BRANDS INC,115757
SMITH (A.O.),9771
SMITH MICRO SOFTWARE INC,61321
SMITH-MIDLAND CORP,61709
SMITHFIELD FOODS INC,9774
SMTC CORP,137874
SMUCKER (JM) CO,9777
SNAIL INC,41686
SNAP INC,30091
SNAP INTERACTIVE INC -OLD,175372
SNAP ONE HOLDINGS CORP,39286
SNAP-ON INC,9778
SNOWFLAKE INC,339965
SNYDERS-LANCE INC,6574
SOC TELEMED INC,37327
SOCIETAL CDMO INC,19025
SOCIETY PASS INC,39557
SOCKET MOBILE INC,60801
SOFI TECHNOLOGIES INC,38916
SOFTECH INC,9786
SOLARCITY CORP,15314
SOLAREDGE TECHNOLOGIES INC,23119
SOLARIS OILFIELD IF INC,30547
SOLARIS POWER CELLS INC,179698
SOLARMAX TECHNOLOGY I -REDH,35160
SOLARWINDS CORP,179690
SOLENO THERAPEUTICS INC,20898
SOLERA HOLDINGS INC,177429
SOLID BIOSCIENCES INC,32894
SOLID POWER INC,38094
SOLIGENIX INC,13484
SOLITARIO ZINC CORP,30473
SOLITRON DEVICES INC,9799
SOLO BRANDS INC,39823
SOLUNA HOLDINGS INC,7183
SOMALOGIC INC,39102
SOMERSET TRUST HOLDING CO,19366
SONENDO INC,39860
SONIC AUTOMOTIVE INC  -CL A,65831
SONIC CORP,23697
SONIC FOUNDRY INC,109186
SONIDA SENIOR LIVING INC,65732
SONIM TECHNOLOGIES INC,35104
SONNET BIOTHERAPEUTICS HOLD,36356
SONO-TEK CORP,13176
SONOCO PRODUCTS CO,9815
SONOMA PHARMACEUTICALS INC,175424
SONOS INC,33767
SOOUM CORP,22198
SORL AUTO PARTS INC,4341
SORRENTO TECH INC,20675
SORRENTO THERAPEUTICS INC,183602
SOTERA HEALTH CO,37338
SOTHEBY'S,14412
SOTHERLY HOTELS INC,161852
SOUL & VIBE INTERACTIVE INC,189609
SOUND FINANCIAL BANCORP INC,179234
SOUPMAN INC,186362
SOUTH ATLANTIC BANCSHARES,16271
SOUTH CAROLINA ELEC & GAS CO,9828
SOUTH JERSEY GAS CO,154358
SOUTH JERSEY INDUSTRIES INC,9831
SOUTH PLAINS FINANCIAL INC,35101
SOUTH STATE CORP,64547
SOUTHCOAST FINANCIAL CORP,110164
SOUTHCROSS ENERGY PRTNRS LP,171139
SOUTHEASTERN BANK FINL CORP,61939
SOUTHEASTERN GROCERS  -REDH,18775
SOUTHERN BANC CO INC,61394
SOUTHERN BANCSHARES NC INC,64628
SOUTHERN CALIF BANCORP,162307
SOUTHERN CALIFORNIA EDISON,14912
SOUTHERN CALIFORNIA GAS CO,9848
SOUTHERN CO,9850
SOUTHERN CO GAS,1837
SOUTHERN CONCEPTS RESTAURANT,19720
SOUTHERN COPPER CORP,61811
SOUTHERN FIRST BANKSHARES,125580
SOUTHERN MICH BANCORP INC,61796
SOUTHERN MISSOURI BANCP INC,30055
SOUTHERN NATURAL GAS CO,9860
SOUTHERN POWER CO,156820
SOUTHERN STATES BANCSHAR INC,39261
SOUTHSIDE BANCSHARES INC,62979
SOUTHWEST AIRLINES,9882
SOUTHWEST BANCORP INC,29446
SOUTHWEST GAS HOLDINGS INC,9890
SOUTHWEST GEORGIA FINL CORP,63543
SOUTHWESTERN ELECTRIC PWR CO,9902
SOUTHWESTERN ENERGY CO,9904
SOUTHWESTERN PUBLIC SVC CO,9906
SOVOS BRANDS INC,39542
SOW GOOD INC,185181
SP PLUS CORP,158737
SPAN-AMERICA MEDICAL SYS INC,9916
SPANISH BROADCASTING SYS INC,117145
SPANSION INC,163772
SPAR GROUP INC,62302
SPARK NETWORKS INC,238157
SPARK THERAPEUTICS INC,22709
SPARTA COMMERCIAL SERVIC INC,40564
SPARTANNASH CO,28762
SPARTON CORP,9922
SPARX HLDGS GROUP,2109
SPECTRA ENERGY CORP,176282
SPECTRA ENERGY PARTNERS LP,177739
SPECTRANETICS CORP,24853
SPECTRASCIENCE INC,12879
SPECTRUM BRANDS HOLDINGS INC,65459
SPECTRUM BRND HLDG INC,11670
SPECTRUM PHARMACEUTICALS INC,63650
SPEED COMMERCE INC,29433
SPEEDWAY MOTORSPORTS INC,31560
SPERO THERAPEUTICS INC,32525
SPINAL ELEME HOLDI INC -REDH,37043
SPINDLE INC,199555
SPINDLETOP OIL & GAS CO,24131
SPINEEX INC -REDH,34170
SPIRAL TOYS INC,19182
SPIRE ALABAMA INC,1224
SPIRE GLOBAL INC,39442
SPIRE INC,6547
SPIRIT AEROSYSTEMS HOLDINGS,164494
SPIRIT AIRLINES INC,185624
SPIRIT MTA REIT,33542
SPIRIT REALTY CAPITAL INC,157679
SPLUNK INC,170616
SPOK HOLDINGS INC,24844
SPORTSMANS WAREHOUSE HLDGS,16009
SPRAGUE RESOURCES LP,187709
SPRING BANK PHARMACEUTICALS,26790
SPRINGWORKS THERAPEUTICS INC,35600
SPRINKLR INC,38915
SPRINT CORP,10984
SPROUT SOCIAL INC,35922
SPROUTS FARMERS MARKET,17934
SPRT OF TXS BNCSR INC,33316
SPRUCE POWER HOLDG CORP,37594
SPS COMMERCE INC,183974
SPX FLOW INC,24611
SPX TECHNOLOGIES INC,5087
SPY INC,161903
SPYR INC,63752
SQUARE 1 FINANCIAL INC,163872
SQUARE CHAIN CORP,17701
SQUARESPACE INC,38736
SQZ BIOTECHNOLOGIES CO,37282
SRAX INC,15543
SRC ENERGY INC,178870
SS&C TECHNOLOGIES HLDGS INC,62965
ST JOE CO,12544
ST JUDE MEDICAL INC,9372
STAAR SURGICAL CO,9969
STABILIS SOLUTIONS INC,35530
STACK-IT STORAGE INC -OLD,20073
STAFFING 360 SOLUTIONS INC,190572
STAFFING GROUP LTD,19848
STAG INDUSTRIAL INC,185339
STAGE STORES INC,63874
STAGWELL INC,39309
STAMPS.COM INC,121673
STANCORP FINANCIAL GROUP INC,119756
STANDARD AVB FINANCIAL CORP,185113
STANDARD BIOTOOLS INC,179840
STANDARD DIVERSIFIED INC,29040
STANDARD MOTOR PRODS,10000
STANDEX INTERNATIONAL CORP,10008
STANLEY BLACK & DECKER INC,10016
STAPLES INC,15521
STAR BUFFET INC,65482
STAR EQUITY HOLDINGS INC,145080
STAR FINANCIAL GROUP INC,109187
STAR GROUP LP,61735
STARBUCKS CORP,25434
STARCO BRANDS INC,13360
STARRETT (L.S.) CO  -CL A,10030
STARRY GROUP HOLDINGS INC,37113
STARTEK INC -OLD,64942
STARWOOD HOTELS&RESORTS WRLD,5723
STARWOOD WAYPOINT HOMES,17912
STARWOOD WAYPOINT RES TR,19142
STARZ,32280
STATE AUTO FINANCIAL CORP,24233
STATE BANK FINANCIAL CORP,183826
STATE INVESTORS BANCORP INC,187132
STATE NATIONAL COS INC,21079
STATE STREET CORP,10035
STATERA BIOPHARMA INC,39352
STATIONDIGITAL CORP,20788
STEEL CONNECT INC,29621
STEEL DYNAMICS INC,64030
STEEL EXCEL INC,12256
STEEL PARTNERS HOLDINGS LP,186823
STEELCASE INC,66290
STEIN MART INC,25186
STELLAR BANCORP INC,26270
STELLUS CAPITAL INVESTMENT,16150
STEM INC,38722
STEMCELLS INC,25095
STEMLINE THERAPEUTICS INC,171022
STEPAN CO,10056
STEPSTONE GROUP INC,33110
STEREOTAXIS INC,160375
STERICYCLE INC,63527
STERLING BANCORP,117161
STERLING BANCORP INC,32698
STERLING CHECK CORP,39540
STERLING INFRASTRUCTURE INC,5559
STEUBEN TRUST CO HORNELL NY,19541
STEWARDSHIP FINANCIAL CORP,65444
STEWART INFORMATION SERVICES,10086
STG GROUP INC,26573
STIFEL FINANCIAL CORP,11770
STILLWATER MINING CO,31203
STITCH FIX INC,32688
STOCK BUILDING SUPPLY HLDGS,18169
STOCK YARDS BANCORP INC,22717
STONE ENERGY CORP,28564
STONEGATE BANK/FL,163867
STONEGATE MORTGAGE CORP,18287
STONEMOR INC,160207
STONERIDGE INC,65590
STONEX GROUP INC,31521
STORE CAPITAL CORP,21630
STR HOLDINGS INC,180597
STRAIGHT PATH COMMUNICATIONS,18386
STRAN & COMPANY INC,39835
STRATA SKIN SCIENCES INC,164293
STRATEGIC EDUCATION INC,63338
STRATEGIC ENVIRONMTL& ENERGY,264694
STRATEGIC HOTELS & RESORTS,260779
STRATEX OIL & GAS HLDGS INC,12990
STRATTEC SECURITY CORP,31567
STRATUS PROPERTIES INC,25462
STREAMLINE HEALTH SOLUTIONS,62666
STRIDE INC,178976
STRONGHOLD DIGITAL MININ INC,39354
STRYKER CORP,10115
STRYVE FOODS INC,39301
STURGIS BANCORP INC,31218
STURM RUGER & CO INC,10124
STW RESOURCES HOLDING CORP,185951
SUBURBAN PROPANE PRTNRS  -LP,62501
SUCAMPO PHARMACEUTICALS INC,175308
SUCCESS HOLDING GROUP INTL,19825
SUFFOLK BANCORP,17136
SUIC WORLDWIDE HOLDINGS LTD,184388
SUMMER ENERGY HOLDINGS INC,170992
SUMMER INFANT INC,176874
SUMMIT BANK GROUP INC,176203
SUMMIT FINANCIAL GROUP INC,110250
SUMMIT HOTEL PROPERTIES INC,185396
SUMMIT MATERIALS INC,22603
SUMMIT MIDSTREAM PARTNERS LP,13871
SUMMIT STATE BANK,165630
SUMO LOGIC INC,36896
SUN BANCORP INC/NJ,63538
SUN COMMUNITIES INC,29359
SUN CONTY AIR HLD INC,38038
SUNCOKE ENERGY INC,186773
SUNCOKE ENERGY PARTNERS LP,15396
SUNDANCE STRATEGIES INC,17767
SUNEDISON INC,60992
SUNESIS PHARMACEUTICALS INC,162585
SUNGARD DATA SYSTEMS INC,12144
SUNLIGHT FINANCIAL HOLDINGS,39195
SUNLINK HEALTH SYSTEMS INC,10380
SUNNOVA ENRGY INTL INC,35395
SUNOCO LOGISTICS PARTNERS LP,147208
SUNOCO LP,12892
SUNPOWER CORP,165051
SUNRISE REAL ESTATE GRP INC,139133
SUNRUN INC,24905
SUNSHINE BANCORP INC,21111
SUNSHINE BIOPHARMA INC,178118
SUNSHINE FINANCIAL INC,186884
SUNSTONE HOTEL INVESTORS INC,61163
SUNTRUST BANKS INC,10187
SUNVAULT ENERGY INC,13882
SUNWIN STEVIA INTL INC,150922
SUNWORKS INC,165968
SUPER LEAGUE GAMING INC,34613
SUPER MICRO COMPUTER INC,176567
SUPERCONDUCTOR TECHNOLOGIES,27913
SUPERIOR DRILLING PRODUCTS,20147
SUPERIOR ENERGY SERVICES INC,25509
SUPERIOR GROUP OF COS INC,10198
SUPERIOR INDUSTRIES INTL,10195
SUPERNOVA ENERGY INC,185423
SUPERNUS PHARMACEUTICALS INC,186159
SUPERVALU INC,10190
SUPPORT.COM INC,133825
SUPREME INDUSTRIES INC,4156
SUREPURE INC,16760
SURFACE ONCOLOGY INC,33274
SURGALIGN HOLDINGS INC,138707
SURGE COMPONENTS INC,21040
SURGE HOLDINGS INC -OLD,23853
SURGEPAYS INC,33382
SURGERY PARTNERS INC,25898
SURGICAL CARE AFFILIATES INC,18841
SURMODICS INC,66588
SURO CAPITAL CORP,186993
SURREY BANCORP,108403
SUSQUEHANNA BANCSHARES INC,17233
SUSQUEHANNA COMMUNITY FINL,108812
SUTOR TECHNOLOGY GROUP LTD,66592
SUTRO BIOPHARMA INC,34065
SUTRON CORP,10213
SVB FINANCIAL GROUP,17120
SWEETGREEN INC,39961
